nombre_chambre,superficie,adresse,prix,image_lien
1.0,0.0,Yoff                                                                                Dakar,20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7b61a498f5a8ebe29f9045e1b78d5e6e/-/horizon-files-prod/ed/picture/migrated/qd06kgg/3a80e3f353bf1eded096dda1a6e0838d9f0b4bc6.jpg
1.0,0.0,Thiès                                                                                Thiès,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2e6a72adcfed0a17d618dee17e1d4552/-/horizon-files-prod/ed/picture/q6xdjqed/12fce872fdd3c2615cea11748d35993dbd97defa.jpg
3.0,0.0,Thiès                                                                                Thiès,55000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8fc190663c1b858bb0e288570e7aa48f/-/horizon-files-prod/ed/picture/q8v47dx6/5118ee069df7451a7e4bcf08dc8663ee1f6f1493.jpg
0.0,80.0,Ouakam                                                                                Dakar,12500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6404895a582e25751ab701dc9194dcbc/-/horizon-files-prod/ed/picture/qder42nw/d9d4d7a6a27d74a749576a5f2fec0bb0bd7548ec.jpg
2.0,150.0,Amitié                                                                                Dakar,1000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/68dce0c09488d3abb459f8969a30b163/-/horizon-files-prod/ed/picture/q78w62gm/709f703a00dd8dede5a7b4ea90729b3825b452b4.jpg
2.0,150.0,Ngor                                                                                Dakar,50000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/473fe4835be492b4e9314dd53fbfa8f7/-/horizon-files-prod/ed/picture/qq42r0kw/06b9d8811f184a2bef03d26df6fb151f956f19a0.jpg
1.0,0.0,Sicap foire                                                                                Dakar,30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/44abe816b1ee7b1b196164c93331050c/-/horizon-files-prod/ed/picture/q2j0xmn6/a4cc0c8108c1c0cb2619f50c5a74e4a07a2bf6a0.jpg
3.0,153.0,Plateau                                                                                Dakar,1600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1ab6cf4a7dccd1b3d865797a083a482b/-/horizon-files-prod/ed/picture/q6xd255z/73e4e989a8db032528b7eb1c49de48fcc35b9598.jpg
2.0,0.0,Ouest foire                                                                                Dakar,40000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/476e0bd87b89121b99642585058dfa4e/-/horizon-files-prod/ed/picture/qzvpqn9k/4c40d8c9c10762e726bfb9270bac828f0c8680dd.jpg
1.0,70.0,Ngor                                                                                Dakar,450000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ec2a1bee43dbf9af107df63b053fad33/-/horizon-files-prod/ed/picture/qxjpj85n/90a7ad3ce824654fe9e48c0ae8d4c4ad0a26058c.jpg
1.0,0.0,Sicap Liberté                                                                                Dakar,800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/182ae1f7097dca6c77b93c11ae038540/-/horizon-files-prod/ed/picture/qv4wr9rk/fb7ec7655e9f813ff7cb4a2d97f49c488907b575.jpg
1.0,0.0,Almadies                                                                                Dakar,20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7b41688d460771d861aff864588510d0/-/horizon-files-prod/ed/picture/qenvv94k/f06836de69a00a60c501493f510b5d68c78ee76f.jpg
1.0,100.0,Almadies                                                                                Dakar,30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/03ce3c464b59be7dca68835aa3c27f8b/-/horizon-files-prod/ed/picture/q6xdxqdz/cb13c5055d60fa3704a854fb104b42be943b3273.jpg
